rating_id,user_id,movie_id,rating,timestamp
R000001,U0009,M0002,4,2026-09-10 08:31:00
R000002,U0159,M0051,5,2026-08-14 13:07:00
R000003,U0184,M0012,5,2026-07-11 09:05:00
R000004,U0145,M0069,5,2026-07-17 17:23:00
R000005,U0077,M0044,4,2026-09-04 01:08:00
R000006,U0111,M0008,5,2026-07-18 23:32:00
R000007,U0012,M0021,2,2026-07-06 17:25:00
R000008,U0068,M0009,5,2026-07-14 18:48:00
R000009,U0121,M0093,5,2026-08-04 10:00:00
R000010,U0112,M0011,3,2026-07-13 01:36:00
R000011,U0070,M0048,5,2026-09-04 12:25:00
R000012,U0134,M0014,4,2026-07-11 17:12:00
R000013,U0110,M0058,4,2026-08-06 13:58:00
R000014,U0093,M0061,4,2026-07-16 19:41:00
R000015,U0148,M0080,5,2026-07-11 21:05:00
R000016,U0102,M0008,5,2026-07-18 17:43:00
R000017,U0161,M0005,4,2026-08-08 13:18:00
R000018,U0058,M0014,4,2026-07-27 02:39:00
R000019,U0097,M0005,3,2026-08-29 00:41:00
R000020,U0071,M0031,5,2026-08-11 19:28:00
R000021,U0192,M0003,5,2026-08-19 14:52:00
R000022,U0079,M0067,4,2026-08-04 22:54:00
R000023,U0109,M0005,5,2026-08-12 15:35:00
R000024,U0026,M0012,4,2026-09-24 20:08:00
R000025,U0048,M0013,4,2026-09-13 12:08:00
R000026,U0023,M0009,5,2026-07-22 23:06:00
R000027,U0147,M0005,4,2026-08-03 11:07:00
R000028,U0071,M0090,5,2026-08-30 16:20:00
R000029,U0128,M0018,5,2026-08-18 06:35:00
R000030,U0132,M0008,5,2026-07-08 21:28:00
R000031,U0123,M0012,3,2026-08-07 08:07:00
R000032,U0012,M0006,5,2026-08-19 04:02:00
R000033,U0148,M0017,4,2026-07-24 18:23:00
R000034,U0189,M0038,4,2026-08-16 20:27:00
R000035,U0159,M0039,4,2026-09-09 23:58:00
R000036,U0037,M0009,5,2026-08-26 08:23:00
R000037,U0187,M0004,3,2026-08-23 12:19:00
R000038,U0085,M0027,4,2026-08-08 13:12:00
R000039,U0084,M0010,4,2026-09-21 06:43:00
R000040,U0070,M0070,4,2026-08-27 20:40:00
R000041,U0153,M0008,4,2026-09-13 10:08:00
R000042,U0168,M0044,5,2026-09-05 13:12:00
R000043,U0008,M0012,3,2026-07-14 17:54:00
R000044,U0137,M0011,5,2026-09-16 11:13:00
R000045,U0150,M0059,5,2026-07-30 12:10:00
R000046,U0092,M0097,3,2026-09-18 05:07:00
R000047,U0100,M0031,5,2026-09-12 22:58:00
R000048,U0058,M0079,4,2026-09-08 16:06:00
R000049,U0197,M0009,5,2026-07-02 11:32:00
R000050,U0139,M0051,5,2026-08-24 10:59:00
R000051,U0135,M0006,3,2026-08-29 13:49:00
R000052,U0045,M0031,4,2026-08-30 03:17:00
R000053,U0023,M0099,3,2026-07-13 17:51:00
R000054,U0177,M0010,3,2026-07-13 04:44:00
R000055,U0198,M0002,3,2026-08-06 02:57:00
R000056,U0178,M0037,5,2026-07-28 09:47:00
R000057,U0001,M0080,5,2026-07-02 02:11:00
R000058,U0170,M0092,4,2026-07-03 20:23:00
R000059,U0191,M0010,4,2026-09-05 10:00:00
R000060,U0021,M0086,5,2026-08-27 07:57:00
R000061,U0012,M0003,4,2026-09-28 07:06:00
R000062,U0069,M0061,3,2026-07-08 19:53:00
R000063,U0027,M0071,4,2026-08-06 20:35:00
R000064,U0120,M0004,3,2026-07-05 04:56:00
R000065,U0076,M0001,4,2026-07-25 10:14:00
R000066,U0126,M0072,5,2026-07-11 23:16:00
R000067,U0167,M0002,4,2026-08-07 19:44:00
R000068,U0134,M0025,5,2026-08-11 02:33:00
R000069,U0127,M0010,5,2026-07-05 09:01:00
R000070,U0164,M0092,5,2026-08-03 10:54:00
R000071,U0003,M0097,5,2026-07-14 06:48:00
R000072,U0086,M0072,3,2026-09-28 22:02:00
R000073,U0051,M0048,5,2026-09-21 11:51:00
R000074,U0139,M0085,4,2026-09-17 19:02:00
R000075,U0001,M0032,4,2026-09-06 15:00:00
R000076,U0192,M0051,4,2026-07-29 04:07:00
R000077,U0014,M0007,5,2026-07-12 17:31:00
R000078,U0035,M0010,5,2026-08-14 04:25:00
R000079,U0049,M0006,5,2026-08-21 06:49:00
R000080,U0041,M0064,4,2026-08-18 20:52:00
R000081,U0127,M0024,4,2026-07-17 06:35:00
R000082,U0037,M0006,5,2026-09-09 13:10:00
R000083,U0060,M0003,5,2026-09-28 08:30:00
